time_ps,mindist_nm
2.750000e+04,1.323179e-01
2.751000e+04,1.326763e-01
2.752000e+04,1.336599e-01
2.753000e+04,1.303918e-01
2.754000e+04,1.361213e-01
2.755000e+04,1.334203e-01
2.756000e+04,1.335702e-01
2.757000e+04,1.335251e-01
2.758000e+04,1.321590e-01
2.759000e+04,1.303957e-01
2.760000e+04,1.322725e-01
2.761000e+04,1.305526e-01
2.762000e+04,1.257815e-01
2.763000e+04,1.327176e-01
2.764000e+04,1.348109e-01
2.765000e+04,1.310495e-01
2.766000e+04,1.278633e-01
2.767000e+04,1.329963e-01
2.768000e+04,1.366346e-01
2.769000e+04,1.328684e-01
2.770000e+04,1.305718e-01
2.771000e+04,1.309426e-01
2.772000e+04,1.316511e-01
2.773000e+04,1.321592e-01
2.774000e+04,1.341715e-01
2.775000e+04,1.323859e-01
2.776000e+04,1.339963e-01
2.777000e+04,1.333193e-01
2.778000e+04,1.311715e-01
2.779000e+04,1.327590e-01
2.780000e+04,1.341714e-01
2.781000e+04,1.307095e-01
2.782000e+04,1.347368e-01
2.783000e+04,1.368284e-01
2.784000e+04,1.309427e-01
2.785000e+04,1.341976e-01
2.786000e+04,1.312707e-01
2.787000e+04,1.347107e-01
2.788000e+04,1.326763e-01
2.789000e+04,1.328347e-01
2.790000e+04,1.328496e-01
2.791000e+04,1.330902e-01
2.792000e+04,1.319924e-01
2.793000e+04,1.345735e-01
2.794000e+04,1.308894e-01
2.795000e+04,1.364297e-01
2.796000e+04,1.334315e-01
2.797000e+04,1.335403e-01
2.798000e+04,1.300654e-01
2.799000e+04,1.284757e-01
2.800000e+04,1.338172e-01
2.801000e+04,1.300155e-01
2.802000e+04,1.321892e-01
2.803000e+04,1.360072e-01
2.804000e+04,1.344767e-01
2.805000e+04,1.297111e-01
2.806000e+04,1.317119e-01
2.807000e+04,1.315675e-01
2.808000e+04,1.350331e-01
2.809000e+04,1.360037e-01
2.810000e+04,1.302344e-01
2.811000e+04,1.316244e-01
2.812000e+04,1.333306e-01
2.813000e+04,1.327743e-01
2.814000e+04,1.291007e-01
2.815000e+04,1.308779e-01
2.816000e+04,1.316094e-01
2.817000e+04,1.304685e-01
2.818000e+04,1.329699e-01
2.819000e+04,1.336562e-01
2.820000e+04,1.319281e-01
2.821000e+04,1.324311e-01
2.822000e+04,1.343726e-01
2.823000e+04,1.314875e-01
2.824000e+04,1.306638e-01
2.825000e+04,1.327554e-01
2.826000e+04,1.294027e-01
2.827000e+04,1.314840e-01
2.828000e+04,1.351519e-01
2.829000e+04,1.314307e-01
2.830000e+04,1.319013e-01
2.831000e+04,1.352184e-01
2.832000e+04,1.336450e-01
2.833000e+04,1.324764e-01
2.834000e+04,1.310609e-01
2.835000e+04,1.346736e-01
2.836000e+04,1.301768e-01
2.837000e+04,1.308969e-01
2.838000e+04,1.357720e-01
2.839000e+04,1.297614e-01
2.840000e+04,1.335253e-01
2.841000e+04,1.323518e-01
2.842000e+04,1.349777e-01
2.843000e+04,1.332404e-01
2.844000e+04,1.310915e-01
2.845000e+04,1.317991e-01
2.846000e+04,1.325369e-01
2.847000e+04,1.343800e-01
2.848000e+04,1.355174e-01
2.849000e+04,1.322913e-01
2.850000e+04,1.341715e-01
2.851000e+04,1.311982e-01
2.852000e+04,1.349184e-01
2.853000e+04,1.318900e-01
2.854000e+04,1.335215e-01
2.855000e+04,1.323254e-01
2.856000e+04,1.277067e-01
2.857000e+04,1.340262e-01
2.858000e+04,1.288448e-01
2.859000e+04,1.341716e-01
2.860000e+04,1.308358e-01
2.861000e+04,1.318370e-01
2.862000e+04,1.355065e-01
2.863000e+04,1.315943e-01
2.864000e+04,1.309810e-01
2.865000e+04,1.320340e-01
2.866000e+04,1.304798e-01
2.867000e+04,1.321020e-01
2.868000e+04,1.350187e-01
2.869000e+04,1.301883e-01
2.870000e+04,1.363452e-01
2.871000e+04,1.306943e-01
2.872000e+04,1.328570e-01
2.873000e+04,1.343838e-01
2.874000e+04,1.322573e-01
2.875000e+04,1.344658e-01
2.876000e+04,1.347701e-01
2.877000e+04,1.321515e-01
2.878000e+04,1.293097e-01
2.879000e+04,1.315522e-01
2.880000e+04,1.338470e-01
2.881000e+04,1.315182e-01
2.882000e+04,1.365944e-01
2.883000e+04,1.325783e-01
